engineering_strain_fraction,engineering_strain_percent,engineering_stress_MPa,true_strain,true_stress_MPa,plastic_strain
0.11331,11.331,491.3302,0.10733756001704331,547.002824962,0.1047327846600814
0.11349000000000001,11.349,491.3618,0.10749922698344537,547.126450682,0.1048938629325787
0.113647,11.3647,491.3841,0.1076402151671629,547.2284288127,0.10503436550615004
0.11380499999999999,11.3805,491.3973,0.1077820812996452,547.3207697265,0.1051757919199952
0.113975,11.3975,491.4065,0.10793469960156908,547.4145558375,0.1053279636213905
0.114145,11.4145,491.4157,0.10808729461470111,547.5083450765,0.10548011201909872
0.11431200000000001,11.4312,491.4157,0.10823717410558888,547.5904114984,0.10562960071750126
0.11448499999999999,11.4485,491.442,0.10839241480301212,547.70473737,0.10578429700601212
0.114647,11.4647,491.4472,0.10853776285802655,547.7901471384,0.1059292383478437
0.114815,11.4815,491.4788,0.10868847186344398,547.907938422,0.10607938644238683
0.114982,11.4982,491.4919,0.10883826128401657,548.0046216458,0.10622871546665562
0.115145,11.5145,491.5288,0.10898444130003382,548.1258836760001,0.10637431804443381
0.115317,11.5317,491.5459,0.10913866943782854,548.2294985503,0.10652805277806521
0.115487,11.5487,491.5774,0.10929108085571114,548.3481991937999,0.10667989895478829
0.11566000000000001,11.566,491.5958,0.10944615804277834,548.453770228,0.106834473422645
0.11582200000000001,11.5822,491.6182,0.10959135303004205,548.5584031604001,0.10697917015784968
0.11598699999999999,11.5987,491.6274,0.10973921514575231,548.6497872438,0.10712659711125803
0.11615199999999999,11.6152,491.6313,0.10988705540148955,548.7352587576,0.10727403035978669
0.116325,11.6325,491.6405,0.11004204020119526,548.8305811624999,0.1074285612432786
0.116495,11.6495,491.6497,0.11019431400770764,548.9244318015,0.10758038814198621
0.116655,11.6655,491.6682,0.1103376093530931,549.0237538709999,0.10772321052513596
0.11681699999999999,11.6817,491.6774,0.11048267497315378,549.1136788358,0.10786784793107855
0.116982,11.6982,491.7037,0.11063040536456331,549.2241822334,0.10801505211583283
0.11715,11.715,491.7221,0.11078079934335834,549.3273440150001,0.10816495484804882
0.117317,11.7317,491.7313,0.11093027570645607,549.4197409220999,0.10831399122587464
0.11749000000000001,11.749,491.7576,0.11108509891968708,549.5342004240001,0.10846826939385851
0.117655,11.7655,491.7852,0.11123274034814001,549.646187706,0.10861537754954001
0.11782,11.782,491.8075,0.11138035998181932,549.75225965,0.10876249207872409
0.11799200000000001,11.7992,491.826,0.11153421907224313,549.857533392,0.10891584986561456
0.11817,11.817,491.8615,0.11169342041845681,549.984773455,0.10907444530676634
0.118337,11.8337,491.8667,0.11184276043868513,550.0727296778999,0.10922336648783798
0.118502,11.8502,491.8746,0.11199029005552323,550.1627238491999,0.10937046756100323
0.118667,11.8667,491.8799,0.11213779791058397,550.2498120933001,0.10951756071013968
0.11882999999999999,11.883,491.893,0.11228349643021401,550.3446451899999,0.10966280764359497
